cityName,mfcTypeLabel,dateRetrieved,objectCoordinates
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18962664496305 25.229392241289702, 43.189608527892204 25.229383987443107, 43.1896145672668 25.229359227357858, 43.19071092990447 25.22861003986783, 43.190711086204296 25.22865120073083, 43.18962664496305 25.229392241289702))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.190356242773106 25.220968081860097, 43.190340663122285 25.220983175874487, 43.19032961889408 25.220961883356498, 43.1903957034831 25.2204316928169, 43.19041128305825 25.22041659865054, 43.19042232738662 25.22043789109472, 43.190356242773106 25.220968081860097))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.190272887006 25.219807495033674, 43.19028437171923 25.219786642352915, 43.19029962955718 25.219802338358193, 43.19033807878946 25.220174786416383, 43.19032659400459 25.2201956390453, 43.190311336218834 25.220179942933523, 43.190272887006 25.219807495033674))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.19006607236013 25.237896465196716, 43.19007506730353 25.23787344177691, 43.19009191352209 25.237885735003477, 43.190273946600925 25.23870457299405, 43.190264951489645 25.238727596372968, 43.19024810535742 25.2387153028786, 43.19006607236013 25.237896465196716))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.189123696799605 25.20126014472732, 43.18910745594629 25.20127387481037, 43.18909740949638 25.20125167908666, 43.18936975810403 25.199672061805725, 43.18938599875563 25.19965833124304, 43.189396045511536 25.199680526797984, 43.189123696799605 25.20126014472732))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18955982110529 25.23339475976256, 43.189568829671174 25.23337174652113, 43.18958566858287 25.233384058262452, 43.18974847704615 25.234118547724343, 43.18974638219181 25.234123899131667, 43.18974847662565 25.23412925084644, 43.189531799194036 25.23510637926407, 43.18951495927899 25.235118688459014, 43.189505952568496 25.23509567386675, 43.18972144323518 25.234123897285546, 43.18955982110529 25.23339475976256))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18870424832108 25.22644760957321, 43.188688223158344 25.22643341376142, 43.18869861045462 25.226411512957643, 43.189423338211974 25.22620009375608, 43.189439363403636 25.226214289669954, 43.18942897615168 25.226236190775065, 43.18870424832108 25.22644760957321))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.189187700668896 25.23142386854446, 43.18919690202535 25.231400998368972, 43.18921363635767 25.231413573514413, 43.18933183084561 25.231969728313082, 43.18971356579186 25.231849379653756, 43.18999380566089 25.231631085473637, 43.19001222438052 25.23163798058027, 43.19000717922735 25.231663153082973, 43.189725218230556 25.231882787799236, 43.189722861889244 25.231881905688983, 43.18972156685899 25.231884736992274, 43.189338679361796 25.23200544879008, 43.18956406084121 25.2333128783742, 43.18955401341287 25.233335073720593, 43.18953777295894 25.23332134220057, 43.18930935990742 25.23199632649228, 43.189187700668896 25.23142386854446))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18898163506604 25.23040620069849, 43.18899084444098 25.230383336637388, 43.18900757435622 25.230395922698573, 43.18920963307665 25.23134840381515, 43.18920042350798 25.23137126782021, 43.18918369369524 25.23135868145107, 43.18898163506604 25.23040620069849))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.187364506916104 25.242342705556947, 43.18898558043331 25.241328774191828, 43.18900347915466 25.241337874601452, 43.18899682027035 25.241362336024675, 43.18743216129701 25.242340980992367, 43.187364506916104 25.242342705556947))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.187305389420246 25.23298444743491, 43.18728735994289 25.232993051855562, 43.18728106380528 25.23296841243033, 43.18853366714721 25.22941920283472, 43.18855169633028 25.2294105971833, 43.18855799323572 25.2294352367245, 43.187305389420246 25.23298444743491))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.184870228850826 25.197137913325665, 43.184852281080126 25.197128996703313, 43.18485880592284 25.197104469920294, 43.187902683698695 25.195162782090595, 43.18711612333303 25.193120469142812, 43.18714640510602 25.193119851619304, 43.187932253312816 25.19516031517851, 43.18866599919132 25.196179869648294, 43.188665840562045 25.196205967666316, 43.18864674422029 25.196205750871474, 43.18791829474346 25.19519355553672, 43.184870228850826 25.197137913325665))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.1880731417163 25.236166489772277, 43.18805508259333 25.23615800208675, 43.18806129322814 25.236133321829698, 43.188449590286126 25.23587425131959, 43.188467649428475 25.23588273897161, 43.18846143885148 25.235907419417458, 43.1880731417163 25.236166489772277))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18326897458505 25.195280605215903, 43.18325102913969 25.195271680114413, 43.18325756035965 25.195247157156953, 43.18657735094316 25.1931314561024, 43.18664336438617 25.193130109917917, 43.18326897458505 25.195280605215903))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.183394750850994 25.19882763701187, 43.183397210115224 25.198801757612696, 43.183416148136736 25.198805118271263, 43.187216827450584 25.205549846334453, 43.18856265927367 25.19792918397611, 43.18695756751638 25.198924105132853, 43.18693969192694 25.19891492139004, 43.18694641200686 25.198890492405944, 43.188574029369384 25.19788160780248, 43.188978047901024 25.197248811940952, 43.18885212706654 25.196926684425904, 43.18885767454494 25.196901710857688, 43.18887594805206 25.196909292342212, 43.188997039708774 25.197219065935737, 43.189874719636215 25.195844395760158, 43.18913222651222 25.193079355595472, 43.1891608382837 25.193078772127603, 43.18990207221205 25.195839122825742, 43.19059096617948 25.197018127107036, 43.190591192261465 25.197077664791152, 43.18988969190613 25.19587708508716, 43.18901065114214 25.19725388635806, 43.18911124933069 25.197511234083034, 43.18910570172026 25.197536207704687, 43.18908742825155 25.1975286260055, 43.18899165933161 25.19728363236069, 43.188594627209916 25.19790548558085, 43.1872380244998 25.205587137398854, 43.18728751671085 25.20567101946993, 43.19061336860981 25.20291770737458, 43.190613531965184 25.202960726283543, 43.18729720667356 25.205706150091896, 43.18679701549743 25.21279809339675, 43.186782278014874 25.212814691117504, 43.18677013281804 25.212794550763086, 43.18727044543922 25.20570088635069, 43.18721282511623 25.20560322829357, 43.18721284767462 25.20560294075109, 43.187212637828395 25.20560290348709, 43.183394750850994 25.19882763701187))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18703151066483 25.22748891916537, 43.18704185025931 25.227466976824523, 43.1870579062569 25.22748110705481, 43.18724234241495 25.228645007225747, 43.18723200259252 25.228666949448066, 43.18721594673575 25.228652818863313, 43.18703151066483 25.22748891916537))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18415483567113 25.235417795724647, 43.18413643920526 25.235410791006284, 43.18414156504969 25.235385651350114, 43.1872601571164 25.232981170479135, 43.18727855371494 25.23298817478919, 43.18727342842644 25.233013315925348, 43.18415483567113 25.235417795724647))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.184506285108014 25.21517914070109, 43.18448964774926 25.215166328680194, 43.18449902315321 25.215143592793808, 43.18675871586065 25.21428148466997, 43.18677535331642 25.214294296901482, 43.186765978102216 25.214317033769117, 43.184506285108014 25.21517914070109))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18678514850198 25.226215620562154, 43.18678841666523 25.226189907223112, 43.18680723211478 25.2261943735178, 43.18693900082852 25.22645015766627, 43.186935732607715 25.22647587105685, 43.18691691716788 25.226471404667222, 43.18678514850198 25.226215620562154))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18691536931247 25.22689357411718, 43.186900653043224 25.22691020715215, 43.186888482029396 25.226890095748747, 43.18690790689389 25.22660966439055, 43.18692262311808 25.22659303128276, 43.18693479418325 25.226613142636378, 43.18691536931247 25.22689357411718))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18585157737254 25.232317191531017, 43.18584000087103 25.232296435243814, 43.18585518928599 25.232280614947626, 43.18673131091485 25.232442191385793, 43.18674288739397 25.232462947998027, 43.186727698959274 25.23247876848641, 43.18585157737254 25.232317191531017))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.185208417520144 25.23169394659351, 43.18518932811639 25.231693200552872, 43.185189874034606 25.231667113512792, 43.18663191992022 25.229805969033134, 43.18665100932163 25.22980671448779, 43.1866504638392 25.229832802153435, 43.185208417520144 25.23169394659351))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.183950749632515 25.214475303422855, 43.183932749995364 25.214466583958533, 43.18393913066209 25.214441986669893, 43.185818736743876 25.2132178374143, 43.18583673646884 25.213226556758546, 43.185830356081375 25.213251154934007, 43.183950749632515 25.214475303422855))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18559749458126 25.22462851566411, 43.18559675745254 25.224602437286485, 43.18561584038899 25.224601429935966, 43.18579466935158 25.224827637304028, 43.18579540643046 25.22485371577027, 43.18577632349103 25.224854723047038, 43.18559749458126 25.22462851566411))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.184684817761784 25.200813901251497, 43.18469029160587 25.200788899023564, 43.1847085873416 25.200796379361023, 43.184974728106795 25.20147061983591, 43.184969254114904 25.20149562212487, 43.1849509584214 25.201488141547713, 43.184684817761784 25.200813901251497))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18462482341558 25.22226330821742, 43.18463124308374 25.222238729547062, 43.1848282953302 25.2221111113021, 43.18483004334426 25.222111963921318, 43.18483102500348 25.22210981134712, 43.18601373904572 25.221734624455415, 43.18602994649364 25.22174842768306, 43.186019846004704 25.22177057662601, 43.18483854789182 25.2221453136599, 43.184642809223014 25.222272081079044, 43.18462482341558 25.222263308217425, 43.18462482341558 25.22226330821742))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18453922945457 25.221226274234944, 43.184520248444905 25.22122914807474, 43.18451814546381 25.221203209450326, 43.18466573438178 25.22095125936413, 43.18468471538238 25.220948385430102, 43.1846868184223 25.220974324114227, 43.18453922945457 25.221226274234944))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.183735299002606 25.196483892031434, 43.18371666157683 25.19647820118063, 43.183720826000325 25.196452732418038, 43.184268927612564 25.19597731344824, 43.18428756505973 25.195983004191447, 43.18428340074605 25.19600847321949, 43.183735299002606 25.196483892031434))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.1836954341229 25.19890678051138, 43.18369959924692 25.19888131195251, 43.183718236531256 25.198887003751153, 43.18403824626686 25.199576032584964, 43.184034080990024 25.19960150124338, 43.18401544373781 25.19959580919994, 43.1836954341229 25.19890678051138))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18423018032574 25.234133468207972, 43.18421108514858 25.23413385036707, 43.184210805493215 25.234107755858712, 43.18443188848837 25.233796652257805, 43.18445098366182 25.233796269989956, 43.18445126339002 25.233822364596872, 43.18423018032574 25.234133468207972))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.1839906026302 25.21470577655434, 43.183995318660045 25.2146804877582, 43.18401382430815 25.21468693242243, 43.18414639404898 25.214992011170438, 43.184141677951025 25.21501730000765, 43.184123172319914 25.215010855230787, 43.1839906026302 25.21470577655434))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18381690258721 25.226597114043567, 43.18379978061972 25.226585555606384, 43.183808238789325 25.226562157741768, 43.184238990203724 25.226362788422634, 43.18425611219284 25.22637434687564, 43.184247654065786 25.226397744938108, 43.18381690258721 25.226597114043567))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.184140928324766 25.235959370138442, 43.18414974822605 25.23593622282345, 43.18416668675449 25.235948275644645, 43.18440673125311 25.236989067681257, 43.18532160437634 25.237523592679075, 43.18532871230611 25.237547815459813, 43.18531098712734 25.23755752897185, 43.18441504689247 25.237034065227142, 43.18534652643587 25.242394145502338, 43.18531889009198 25.24239484997497, 43.18438269146933 25.23700761400705, 43.184140928324766 25.235959370138442))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.1839597418047 25.230018512853135, 43.18396073047614 25.22999245068024, 43.18397980207003 25.229993801739553, 43.18415322411253 25.230256706201537, 43.18415223538228 25.23028276845418, 43.18413316379069 25.230281417302713, 43.1839597418047 25.230018512853135))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18377857678182 25.228649643217825, 43.18378620006728 25.228625715557808, 43.183803709734235 25.228636133082603, 43.18391044640093 25.229006937971654, 43.18390282303587 25.229030865635895, 43.18388531340289 25.229020447981117, 43.18377857678182 25.228649643217825))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.182950806635155 25.198011931702094, 43.182954155545794 25.19798623960006, 43.1829729566447 25.197990815955315, 43.18310772920459 25.198254815869205, 43.18310438023458 25.19828050802329, 43.18308557914591 25.198275931570233, 43.182950806635155 25.198011931702094))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18239496321391 25.211011344170764, 43.18239632626508 25.210985314368983, 43.18241537466237 25.210987176986805, 43.183231820008274 25.212274861146962, 43.18323045666956 25.21230089128555, 43.18321140828856 25.212299028242008, 43.18239496321391 25.211011344170764))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.182567815410465 25.196968685531083, 43.182574156597596 25.19694406987327, 43.182592170084185 25.196952735185366, 43.182921992388955 25.197893166472053, 43.182915650998645 25.197917782179456, 43.18289763758024 25.197909116538444, 43.182567815410465 25.196968685531083))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.182993105991024 25.242454136082202, 43.18299424000692 25.242385800259935, 43.183008046465424 25.24236777005586, 43.18302124069027 25.24238663689509, 43.183020131991015 25.242453447167726, 43.182993105991024 25.242454136082202))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18158140039646 25.224569424840116, 43.181582172144246 25.224543350043177, 43.181601253724736 25.224544404625313, 43.18236162727459 25.22567105978101, 43.18236085527537 25.225697134904422, 43.18234177370135 25.225696079957483, 43.18158140039646 25.224569424840116))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.182129812320234 25.229864623820735, 43.18213077316082 25.229838560484065, 43.182149846182114 25.229839873471654, 43.182286821559764 25.23004691073529, 43.18228586067283 25.230072974136743, 43.182266787653326 25.23007166107495, 43.182129812320234 25.229864623820735))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.180842418490215 25.220411879118082, 43.18083748620531 25.2203866687305, 43.180855935434245 25.220379928887304, 43.18195694505962 25.221249704262583, 43.18196187716272 25.221274915183823, 43.181943427881826 25.22128165489187, 43.180842418490215 25.220411879118082))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.182011203735904 25.23541316377056, 43.182018515176225 25.23538905569519, 43.182036157381056 25.235399046779587, 43.182130077637275 25.235709055001443, 43.18212276612973 25.235733163085172, 43.18210512395242 25.23572317189025, 43.182011203735904 25.23541316377056))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18174015859973 25.2365768216567, 43.181722707542896 25.236566222259686, 43.1817304641768 25.23654237549865, 43.18191910565942 25.23644323856589, 43.18193655672705 25.23645383795964, 43.18192880011349 25.236477684812392, 43.18174015859973 25.2365768216567))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18066139737716 25.21088851442153, 43.18064358238974 25.210879113970094, 43.180650461757864 25.21085477033401, 43.181221592865256 25.210509160395084, 43.18123940788104 25.210518560821022, 43.18123252859 25.210542904728808, 43.18066139737716 25.21088851442153))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18132553320537 25.22624001288751, 43.18133281993282 25.22621589118859, 43.18135047230697 25.2262258483902, 43.181428772563216 25.226483275712127, 43.1814214857796 25.22650739741926, 43.181403833428526 25.22649744012482, 43.18132553320537 25.22624001288751))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.180854590374814 25.209018802362483, 43.180855112562064 25.208992716432938, 43.18087420251829 25.208993429984318, 43.1810476245601 25.20924373693723, 43.18104710231704 25.2092698229486, 43.18102801236151 25.209269109310778, 43.180854590374814 25.209018802362483))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.181178578517965 25.22770129589223, 43.18118645302061 25.227677521659192, 43.1812038511597 25.22768828202098, 43.1813015762881 25.228042655380076, 43.18129370170966 25.228066429613843, 43.18127630360424 25.228055669128512, 43.181178578517965 25.22770129589223))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18052041227762 25.23897721801431, 43.180501530087795 25.238981123423933, 43.180498672049566 25.23895532155331, 43.18129308892196 25.23748250901197, 43.18131197104913 25.237478603083495, 43.18131482942496 25.2375044052157, 43.18052041227762 25.23897721801431))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18044839684364 25.239084576348553, 43.18045506833567 25.239060124769534, 43.18047296237664 25.239069241129013, 43.181338871088776 25.241659398135766, 43.181332199043155 25.241683849805817, 43.18131430519758 25.24167473255588, 43.18044839684364 25.239084576348553))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.180407970905954 25.234479638523627, 43.18039138240689 25.23446670927529, 43.18040084423363 25.234444041690942, 43.181118763266376 25.234175659868715, 43.18113535179763 25.234188589184235, 43.18112589002816 25.234211257081977, 43.180407970905954 25.234479638523627))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18041042383275 25.215981089168945, 43.180395549072905 25.21599745494336, 43.18038357233835 25.215977129126525, 43.18048029614757 25.214752432803447, 43.180495170723255 25.21473606670922, 43.180507147674525 25.214756392312346, 43.18041042383275 25.215981089168945))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17991490634062 25.216668602998226, 43.17989580921073 25.21666857313185, 43.17989583106468 25.216642477812567, 43.18035261576853 25.216019722887218, 43.18037171289354 25.216019752546753, 43.1803716911853 25.216045848064326, 43.17991490634062 25.216668602998226))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17798398574453 25.196679562626713, 43.177965402428946 25.196685574394508, 43.177961002743274 25.196660181988147, 43.1794893700629 25.193275998326467, 43.17952140093851 25.19327534513424, 43.17798398574453 25.196679562626713))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17945986352106 25.21658428306313, 43.179451416770405 25.216560879238298, 43.179468544327776 25.21654933723355, 43.17973188146833 25.21667147819425, 43.17974032819813 25.21669488214098, 43.179723200627016 25.216706424159252, 43.17945986352106 25.21658428306313))"
,road,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.176475959424906 25.22585230748548, 43.17645731871092 25.225857978680715, 43.176453168168365 25.22583250847812, 43.177479682123455 25.223626302177212, 43.1774983227099 25.223620630201513, 43.17750247374941 25.223646100670237, 43.176475959424906 25.22585230748548))"
